smiles,CAS_number,formula,IUPAC_Name,property,temperature,value,smiles_base
N#Cc1ccccc1,100-47-0,C7H5N,benzonitrile,octanol_water_partition_coefficient,-,1.56
O=C(c1ccccc1)c1ccccc1,119-61-9,C13H10O,benzophenone,octanol_water_partition_coefficient,-,3.18
s1c2c(cccc2)cc1,95-15-8,C8H6S,benzothiophene,octanol_water_partition_coefficient,-,3.12
C1=CC=C(C=C1)C(F)(F)F,'98-08-8',C7H5F3,benzotrifluoride,octanol_water_partition_coefficient,-,3.01
CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,'80-05-7',C15H16O2,bisphenol a,octanol_water_partition_coefficient,-,3.32
OCc1ccccc1,100-51-6,C7H8O,benzyl alcohol,octanol_water_partition_coefficient,-,1.1
C#CC#C,460-12-8,C4H2,biacetylene,octanol_water_partition_coefficient,-,1.3
NCc1ccccc1,100-46-9,C7H9N,benzylamine,octanol_water_partition_coefficient,-,1.09
BrCC=C,106-95-6,C3H5Br,3-bromo-1-propene,octanol_water_partition_coefficient,-,1.79
BrCCCC,109-65-9,C4H9Br,1-bromobutane,octanol_water_partition_coefficient,-,2.75
Brc1ccccc1,108-86-1,C6H5Br,bromobenzene,octanol_water_partition_coefficient,-,2.99
FC(F)(Cl)Br,353-59-3,CBrClF2,bromochlorodifluoromethane,octanol_water_partition_coefficient,-,1.9
BrCCl,74-97-5,CH2BrCl,bromochloromethane,octanol_water_partition_coefficient,-,1.41
BrCC,74-96-4,C2H5Br,bromoethane,octanol_water_partition_coefficient,-,1.61
BrC(Br)Br,75-25-2,CHBr3,bromoform,octanol_water_partition_coefficient,-,2.4
C1=CC=C2C(=C1)C=CC=C2Br,'90-11-9',C10H7Br,1-bromonaphthalene,octanol_water_partition_coefficient,-,4.06
CCCCCCCBr,629-04-9,C7H15Br,1-bromoheptane,octanol_water_partition_coefficient,-,4.36
BrCCCCC,110-53-2,C5H11Br,1-bromopentane,octanol_water_partition_coefficient,-,3.37
BrC(C)C,75-26-3,C3H7Br,2-bromopropane,octanol_water_partition_coefficient,-,2.14
FC(F)(F)Br,75-63-8,CBrF3,bromotrifluoromethane,octanol_water_partition_coefficient,-,1.86
BrCCC,106-94-5,C3H7Br,1-bromopropane,octanol_water_partition_coefficient,-,2.1
C=CC=C,106-99-0,C4H6,"butadiene (1,3 butadiene)",octanol_water_partition_coefficient,-,1.99
C=C=CC,590-19-2,C4H6,"1,2-butadiene",octanol_water_partition_coefficient,-,2.2
